X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
-4.205655097961426,-4.174413681030273,-4.231895923614502,-2.9662816524505615,-4.9535417556762695,-4.961060523986816,-3.0782217979431152,-5.114734649658203,-4.929320335388184,1.9038259983062744,-4.860439777374268,-4.064602851867676,-2.648691415786743,-3.717663526535034,-5.195984363555908,-4.175782680511475,-3.524204730987549,-5.064895153045654,-5.591521739959717
-4.146766662597656,-4.180355548858643,-4.279653072357178,-3.0120198726654053,-4.539325714111328,-4.733343601226807,-4.36578893661499,2.431112289428711,-4.290670394897461,-4.878421783447266,-2.230525493621826,-4.3257012367248535,2.470560073852539,-4.471944332122803,-4.931553363800049,0.09855770319700241,-4.137673854827881,-4.125792026519775,-3.099778652191162
-4.194970607757568,3.429757833480835,-3.759726047515869,-3.2702255249023438,-4.413870334625244,-3.1982264518737793,-3.5844924449920654,-4.123654365539551,-3.9415550231933594,-4.294902801513672,-2.9224321842193604,-4.941197872161865,-0.11808677762746811,-2.254256010055542,-4.706188201904297,-2.177429676055908,-4.094119071960449,-3.8529398441314697,-4.3705220222473145
-3.061985969543457,-4.988313674926758,-2.8326425552368164,-1.5611066818237305,-4.256343364715576,-5.890381813049316,2.9558768272399902,-5.713008880615234,-5.700671195983887,-4.84481143951416,-5.537441253662109,-4.2626752853393555,-3.8583226203918457,-4.578431606292725,-4.00550651550293,-4.983928680419922,-5.07570219039917,-5.3081488609313965,-5.89448881149292
-4.256800651550293,-4.37095308303833,-4.109234809875488,-2.135748863220215,-5.117921352386475,-5.987067699432373,-4.4131293296813965,0.2735651135444641,-5.718310832977295,-6.047367572784424,-3.895723819732666,-5.0388994216918945,4.6269073486328125,-4.173269748687744,-5.28677225112915,-2.1974258422851563,-6.236552715301514,-4.537417888641357,-4.535589218139648
-4.353038787841797,-4.677748203277588,-3.725024700164795,-1.2218327522277832,-4.355579853057861,-4.47497034072876,-4.678250789642334,2.2022652626037598,-5.258919715881348,-5.289019584655762,-3.5245447158813477,-3.793821334838867,-0.6045904755592346,-4.031610012054443,-3.9854350090026855,-2.537989616394043,-3.292135238647461,-4.464239597320557,-4.29489278793335
-3.4559454917907715,-3.047938108444214,-4.082290172576904,-3.238067388534546,-4.800837516784668,-4.69232702255249,-0.254803866147995,-5.276315689086914,-4.723048210144043,2.1310906410217285,-4.5135722160339355,-3.887113571166992,-3.7675938606262207,-3.2631919384002686,-5.074398994445801,-2.986421585083008,-3.8617849349975586,-4.7257537841796875,-5.38080358505249
-1.7838927507400513,-3.3521270751953125,-2.736175775527954,-3.0847671031951904,-4.7454833984375,-4.914929389953613,4.132384777069092,-4.905483245849609,-5.28101921081543,-4.564028263092041,-4.52217960357666,-3.9934322834014893,-2.7729008197784424,-3.834165334701538,-5.164059638977051,-3.481776714324951,-5.4829206466674805,-4.714468002319336,-5.264693737030029
-4.436339378356934,-3.031712293624878,-4.496720314025879,-3.07453989982605,-4.71588659286499,-5.120413303375244,-3.9065520763397217,-3.3444676399230957,-4.522420406341553,-4.324923992156982,-0.5661260485649109,-4.058897018432617,-2.0199062824249268,-3.7968692779541016,-4.667124271392822,1.4668059349060059,-3.1664395332336426,-4.245780944824219,-2.2533063888549805
-3.433043956756592,-1.051709532737732,-4.794270038604736,-3.1871049404144287,-4.533952713012695,-4.758831024169922,-3.116351366043091,-4.120543956756592,-3.500231981277466,-2.658669948577881,-1.964434027671814,-3.6430392265319824,-3.705867052078247,-2.313019275665283,-4.6800618171691895,2.62302827835083,-3.8852860927581787,-3.214550495147705,-3.857084274291992
